psc_code,psc_description,psc_group,cyber_it_relevance_flag,cyber_it_relevance_reason,verification_status,psc_manual_vintage
D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,IT and Telecom,True,Core software/systems development PSC,verified_against_manual,
D307,IT AND TELECOM- IT STRATEGY AND ARCHITECTURE,IT and Telecom,True,IT architecture/consulting PSC,verified_against_manual,
D310,IT AND TELECOM- CYBER SECURITY AND DATA BACKUP,IT and Telecom,True,Data services PSC,needs_manual_verification,
D316,IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT,IT and Telecom,True,Network operations PSC,verified_against_manual,
D317,IT AND TELECOM- WEB-BASED SUBSCRIPTION,IT and Telecom,True,Software programming PSC,verified_against_manual,
D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,IT and Telecom,True,Catch-all IT/telecom PSC used broadly by DoD IT contracts,verified_against_manual,
DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),IT and Telecom,True,National-security-flagged IT PSC,needs_manual_verification,
DF01,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),IT and Telecom,True,Explicit cybersecurity PSC,verified_against_manual,
DH01,"IT AND TELECOM - PLATFORM SUPPORT SERVICES: DATABASE, MAINFRAME, MIDDLEWARE (LABOR)",IT and Telecom,True,Cloud services PSC,needs_manual_verification,
R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,Professional/Support Services,False,Broad engineering PSC — only cyber/IT-relevant with a keyword match,needs_manual_verification,
R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,Professional/Support Services,False,Broad program-management PSC — only cyber/IT-relevant with a keyword match,needs_manual_verification,
1095,MISCELLANEOUS WEAPONS,Weapons & Ammunition,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
1325,BOMBS,Weapons & Ammunition,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
1367,"TACTICAL SETS, KITS, AND OUTFITS",Weapons & Ammunition,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
1550,UNMANNED AIRCRAFT,Sustainment S&E,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,Sustainment S&E,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
1904,SUBMARINES,,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
2350,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, TRACKED","Aircraft, Ships/Submarines & Land Vehicles",False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
3610,"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT",Industrial Products & Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
3695,MISCELLANEOUS SPECIAL INDUSTRY MACHINERY,Industrial Products & Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5340,"HARDWARE, COMMERCIAL",Industrial Products & Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5805,TELEPHONE AND TELEGRAPH EQUIPMENT,,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,Security and Protection,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5820,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",Security and Protection,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5821,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE",Security and Protection,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5825,"RADIO NAVIGATION EQUIPMENT, EXCEPT AIRBORNE",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5826,"RADIO NAVIGATION EQUIPMENT, AIRBORNE",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5830,"INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, EXCEPT AIRBORNE",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5836,VIDEO RECORDING AND REPRODUCING EQUIPMENT,Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5840,"RADAR EQUIPMENT, EXCEPT AIRBORNE",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5841,"RADAR EQUIPMENT, AIRBORNE",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5845,UNDERWATER SOUND EQUIPMENT,Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5850,VISIBLE AND INVISIBLE LIGHT COMMUNICATION EQUIPMENT,Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5865,"ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5895,MISCELLANEOUS COMMUNICATION EQUIPMENT,Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5910,CAPACITORS,Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5930,SWITCHES,Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5962,"MICROCIRCUITS, ELECTRONIC",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5963,ELECTRONIC MODULES,Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAKERS",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5985,"ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5995,"CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5996,AMPLIFIERS,Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5998,"ELECTRICAL AND ELECTRONIC ASSEMBLIES, BOARDS, CARDS, AND ASSOCIATED HARDWARE",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
6130,"CONVERTERS, ELECTRICAL, NONROTATING",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
6145,"WIRE AND CABLE, ELECTRICAL",Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
6150,MISCELLANEOUS ELECTRIC POWER AND DISTRIBUTION EQUIPMENT,Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
6340,AIRCRAFT ALARM AND SIGNAL SYSTEMS,Electronic & Communication Equipment,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
6350,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",Security and Protection,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
6605,NAVIGATIONAL INSTRUMENTS,Industrial Products & Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
6625,ELECTRICAL AND ELECTRONIC PROPERTIES MEASURING AND TESTING INSTRUMENTS,Industrial Products & Services,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
6760,PHOTOGRAPHIC EQUIPMENT AND ACCESSORIES,Miscellaneous S&E,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
6910,TRAINING AIDS,Sustainment S&E,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
6930,OPERATION TRAINING DEVICES,Sustainment S&E,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7020,"INFORMATION TECHNOLOGY CENTRAL PROCESSING UNIT (CPU, COMPUTER), ANALOG",,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7021,"INFORMATION TECHNOLOGY CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL",,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7022,"INFORMATION TECHNOLOGY CENTRAL PROCESSING UNIT (CPU, COMPUTER), HYBRID",,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7025,INFORMATION TECHNOLOGY INPUT/OUTPUT AND STORAGE DEVICES,,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7030,INFORMATION TECHNOLOGY SOFTWARE,,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7035,INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7045,INFORMATION TECHNOLOGY SUPPLIES,,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7050,INFORMATION TECHNOLOGY COMPONENTS,,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7320,KITCHEN EQUIPMENT AND APPLIANCES,Office Management,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7435,OFFICE INFORMATION SYSTEM EQUIPMENT,,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7490,MISCELLANEOUS OFFICE MACHINES,Office Management,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7520,OFFICE DEVICES AND ACCESSORIES,Office Management,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7630,NEWSPAPERS AND PERIODICALS,Miscellaneous S&E,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7690,MISCELLANEOUS PRINTED MATTER,Miscellaneous S&E,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7B20,IT AND TELECOM - HIGH PERFORMANCE COMPUTE (HARDWARE AND PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7B21,IT AND TELECOM - COMPUTE: MAINFRAME (HARDWARE AND PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7B22,IT AND TELECOM - COMPUTE: SERVERS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7C20,IT AND TELECOM - DATA CENTER PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7C21,IT AND TELECOM - OTHER DATA CENTER FACILITIES PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7D20,IT AND TELECOM - SERVICE DELIVERY MANAGEMENT (HARDWARE AND PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7E20,"IT and Telecom - End User: Help Desk;Tier 1-2,Workspace,Print,Output,Productivity Tools (HW/Perp SW)",IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
7E21,IT AND TELECOM - MOBILE DEVICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),IT,False,Described from the GSA PSC manual; not in the curated cyber/IT-relevant list,described_from_manual,2025-04
