candidate_id,source_award_id,piid,referenced_idv_piid,contract_title,agency,subagency,incumbent_vendor,incumbent_uei,naics,psc,award_type,current_end_date,potential_end_date,selected_expiration_date,expiration_date_basis,days_until_expiration,expiration_bucket,total_obligated_amount,potential_value,base_and_all_options_value,place_of_performance_state,extent_competed,extent_competed_code,type_of_contract_pricing,type_of_contract_pricing_code,type_of_set_aside,type_of_set_aside_code,number_of_offers_received,pop_start_date,classification_confidence,estimated_recompete_window_start,estimated_recompete_window_end,source_url,data_quality_notes,ptw_low,ptw_market_median,ptw_high,ptw_ci_low,ptw_ci_high,ptw_data_strength,ptw_n_comparables,ptw_match_tier,ptw_pct_in_progress,ptw_pricing_mix,ptw_basis,ptw_incumbent_runrate,ptw_incumbent_divergence,ptw_incumbent_outside_iqr,ptw_noncompetitive_incumbent,pursuit_score,priority_tier,agency_key,vendor_key,expiration_bucket_sort,capture_phase,capture_phase_sort,expiration_date_key,window_start_date_key,window_end_date_key,candidate_status,title_display,flag_garbled_title,flag_code_prefix,flag_short_title,flag_stale_expiration,flag_missing_end_date,ceiling_burn_ratio,burn_pressure,burn_band,burn_basis
RC-SAMPLE-001,SAMPLE-001,W91-0001,,"Cybersecurity compliance, RMF support, and security operations center (SOC) services",DEPARTMENT OF DEFENSE,DEPARTMENT OF THE ARMY,ACME CYBER LLC,UEI0001,541512,D307,DEFINITIVE CONTRACT,2026-10-01,2026-10-01,2026-10-01,potential_end_date,78,0-6 Months,5200000.0,7280000.0,7280000.0,VA,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,2023-01-15,High,2026-01-04,2026-08-02,https://www.usaspending.gov/award/SAMPLE-001,,795279.1,1764073.63,3614904.99,795279.1,3614904.99,Weak,5,D,1.0,FFP,comparables,1503800.48,-0.148,False,False,92.1,Tier 1: Pursue Now,1,4,1,Proposal / Submit,4,20261001.0,20260104.0,20260802.0,active,"Cybersecurity compliance, RMF support, and security operations center (SOC) services",False,False,False,False,False,0.7143,-0.2281,underutilized,measured
RC-SAMPLE-002,SAMPLE-002,W91-0002,,Help desk and end user support services for enterprise IT,DEPARTMENT OF DEFENSE,DEPARTMENT OF THE ARMY,ACME CYBER LLC,UEI0001,541519,D399,DEFINITIVE CONTRACT,2027-05-01,2027-05-01,2027-05-01,potential_end_date,290,6-12 Months,1100000.0,1540000.0,1540000.0,VA,NOT AVAILABLE FOR COMPETITION,B,FIRM FIXED PRICE,J,,,,2023-01-15,High,2026-08-04,2027-03-02,https://www.usaspending.gov/award/SAMPLE-002,,1503800.48,1764073.63,3614904.99,1503800.48,3614904.99,Weak,5,D,1.0,FFP,comparables,318111.64,-0.82,True,True,72.1,Tier 2: Capture Research,1,4,2,Capture Planning,2,20270501.0,20260804.0,20270302.0,active,Help desk and end user support services for enterprise IT,False,False,False,False,False,0.7143,-0.1006,on_pace,measured
RC-SAMPLE-003,SAMPLE-003,W91-0003,,Cloud migration and enterprise architecture IT modernization,DEPARTMENT OF DEFENSE,DEFENSE HEALTH AGENCY,ACME CYBER LLC,UEI0001,541512,D307,DEFINITIVE CONTRACT,2027-10-15,2027-10-15,2027-10-15,potential_end_date,457,12-18 Months,12500000.0,17500000.0,17500000.0,MD,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,2023-01-15,High,2026-04-15,2027-04-18,https://www.usaspending.gov/award/SAMPLE-003,,795279.1,1503800.48,1764073.63,795279.1,1764073.63,Weak,5,D,1.0,FFP,comparables,3614904.99,1.404,True,False,79.0,Tier 2: Capture Research,5,4,3,Pre-RFP Shaping,1,20271015.0,20260415.0,20270418.0,active,Cloud migration and enterprise architecture IT modernization,False,False,False,False,False,0.7143,-0.0221,on_pace,measured
RC-SAMPLE-004,SAMPLE-004,N00-0100,,Zero trust cloud security and identity and access management (IAM),DEPARTMENT OF DEFENSE,DEPARTMENT OF THE NAVY,MERIDIAN DEFENSE GROUP,UEI0002,541512,DH01,DEFINITIVE CONTRACT,2028-03-01,2028-03-01,2028-03-01,potential_end_date,595,18-24 Months,28000000.0,39200000.0,39200000.0,CA,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,2023-01-15,High,2026-08-31,2027-09-03,https://www.usaspending.gov/award/SAMPLE-004,,,,,,,Insufficient,0,,,,insufficient,8097387.173396675,,,False,49.8,Tier 4: Low Priority,3,3,4,Early Watch,0,20280301.0,20260831.0,20270903.0,active,Zero trust cloud security and identity and access management (IAM),False,False,False,False,False,0.7143,0.0321,on_pace,measured
RC-SAMPLE-005,SAMPLE-005,N00-0101,,"Network operations and infrastructure support, data center services",DEPARTMENT OF DEFENSE,DEPARTMENT OF THE NAVY,MERIDIAN DEFENSE GROUP,UEI0002,518210,D316,DEFINITIVE CONTRACT,2027-01-20,2027-01-20,2027-01-20,potential_end_date,189,6-12 Months,3400000.0,4760000.0,4760000.0,VA,NOT COMPETED,C,FIRM FIXED PRICE,J,,,,2023-01-15,High,2026-04-25,2026-11-21,https://www.usaspending.gov/award/SAMPLE-005,,,,,,,Insufficient,0,,,,insufficient,983254.1567695962,,,True,62.6,Tier 3: Monitor,3,3,2,Capture Planning,2,20270120.0,20260425.0,20261121.0,active,"Network operations and infrastructure support, data center services",False,False,False,False,False,0.7143,-0.1568,on_pace,measured
RC-SAMPLE-006,SAMPLE-006,F33-0200,,"CMMC and NIST compliance, FISMA continuous monitoring, SIEM operations",DEPARTMENT OF DEFENSE,DEPARTMENT OF THE AIR FORCE,NORTHSTAR IT SOLUTIONS,UEI0003,541512,DF01,DEFINITIVE CONTRACT,2027-08-01,2027-08-01,2027-08-01,potential_end_date,382,12-18 Months,8900000.0,12460000.0,12460000.0,CO,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,2023-01-15,High,2026-11-04,2027-06-02,https://www.usaspending.gov/award/SAMPLE-006,,,,,,,Insufficient,0,,,,insufficient,2573812.351543943,,,False,64.6,Tier 3: Monitor,4,5,3,Pre-RFP Shaping,1,20270801.0,20261104.0,20270602.0,active,"CMMC and NIST compliance, FISMA continuous monitoring, SIEM operations",False,False,False,False,False,0.7143,-0.0554,on_pace,measured
RC-SAMPLE-007,SAMPLE-007,F33-0201,,Software development and DevSecOps application development services,DEPARTMENT OF DEFENSE,DEPARTMENT OF THE AIR FORCE,NORTHSTAR IT SOLUTIONS,UEI0003,541519,D399,DEFINITIVE CONTRACT,2029-01-01,2029-01-01,2029-01-01,potential_end_date,901,24+ Months,6100000.0,8540000.0,8540000.0,TX,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,FIRM FIXED PRICE,J,,,,2023-01-15,High,2028-04-06,2028-11-02,https://www.usaspending.gov/award/SAMPLE-007,,795279.1,1503800.48,3614904.99,795279.1,3614904.99,Weak,5,D,1.0,FFP,comparables,1764073.63,0.173,False,False,63.5,Tier 3: Monitor,4,5,5,Early Watch,0,20290101.0,20280406.0,20281102.0,active,Software development and DevSecOps application development services,False,False,False,False,False,0.7143,0.128,on_pace,measured
RC-SAMPLE-008,SAMPLE-008,DISA-0300,,Managed services and systems administration for DISA enterprise,DEPARTMENT OF DEFENSE,DEFENSE INFORMATION SYSTEMS AGENCY,SUMMIT TECHNOLOGIES INC,UEI0004,541513,D316,DEFINITIVE CONTRACT,2027-03-10,2027-03-10,2027-03-10,potential_end_date,238,6-12 Months,15750000.0,22050000.0,22050000.0,VA,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,2023-01-15,High,2025-09-08,2026-09-11,https://www.usaspending.gov/award/SAMPLE-008,,795279.1,1503800.48,1764073.63,795279.1,1764073.63,Weak,5,D,1.0,FFP,comparables,4554780.29,2.029,True,False,58.1,Tier 3: Monitor,2,2,2,Capture Planning,2,20270310.0,20250908.0,20260911.0,active,Managed services and systems administration for DISA enterprise,False,False,False,False,False,0.7143,-0.1286,on_pace,measured
RC-SAMPLE-009,SAMPLE-009,DISA-0301,,"Cyber defense operations, threat hunting, and vulnerability management",DEPARTMENT OF DEFENSE,DEFENSE INFORMATION SYSTEMS AGENCY,SUMMIT TECHNOLOGIES INC,UEI0004,541512,DF01,DEFINITIVE CONTRACT,2028-06-01,2028-06-01,2028-06-01,potential_end_date,687,18-24 Months,22300000.0,31220000.0,31220000.0,MD,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,2023-01-15,High,2026-12-01,2027-12-04,https://www.usaspending.gov/award/SAMPLE-009,,,,,,,Insufficient,0,,,,insufficient,6448990.498812351,,,False,57.1,Tier 3: Monitor,2,2,4,Early Watch,0,20280601.0,20261201.0,20271204.0,active,"Cyber defense operations, threat hunting, and vulnerability management",False,False,False,False,False,0.7143,0.0641,on_pace,measured
RC-SAMPLE-010,SAMPLE-010,DHA-0400,,Cybersecurity compliance advisory and RMF authorization (ATO) support,DEPARTMENT OF DEFENSE,DEFENSE HEALTH AGENCY,CAPITAL CYBER PARTNERS,UEI0005,541611,D307,DEFINITIVE CONTRACT,2026-11-15,2026-11-15,2026-11-15,potential_end_date,123,0-6 Months,950000.0,1330000.0,1330000.0,DC,NOT AVAILABLE FOR COMPETITION,B,FIRM FIXED PRICE,J,,,,2023-01-15,Medium,2026-02-18,2026-09-16,https://www.usaspending.gov/award/SAMPLE-010,,,,,,,Insufficient,0,,,,insufficient,274732.7790973872,,,True,74.5,Tier 2: Capture Research,5,7,1,Proposal Prep,3,20261115.0,20260218.0,20260916.0,active,Cybersecurity compliance advisory and RMF authorization (ATO) support,False,False,False,False,False,0.7143,-0.1978,on_pace,measured
